class	social_media
first-year	3.0419043495791893
first-year	2.898692541858051
first-year	3.046996082466783
first-year	3.1432193779782676
first-year	3.1767013732882066
first-year	3.0229104668962994
first-year	2.736245800053342
first-year	2.881210756957943
first-year	2.93757180448461
first-year	2.6313955406833913
first-year	3.241154254216001
first-year	2.889528734470817
first-year	2.9821484030953864
first-year	2.8560901310588735
first-year	2.7865809539752022
first-year	3.1515725049788834
first-year	3.182966066562455
first-year	2.9674234807845643
first-year	3.1176840457550625
first-year	2.838552936212195
first-year	2.8817303412384785
first-year	3.464026340465433
first-year	3.475740572939532
first-year	3.0425539729749445
first-year	2.8359850490650813
second-year	1.9253489348230577
second-year	2.154618871968163
second-year	2.101357436723503
second-year	1.7960985123196458
second-year	2.026298296549746
second-year	2.5012395644271166
second-year	1.5605242131235648
second-year	1.878609135142269
second-year	1.5534931799374154
second-year	1.7203471984094476
second-year	2.054457941908548
second-year	1.8084825362683064
second-year	1.592777497338392
second-year	2.372657832306899
second-year	2.048748684800032
second-year	1.7442918923960726
second-year	1.6352977312449577
second-year	2.0119102563364777
second-year	1.9169927618693705
second-year	2.4787729841741175
second-year	2.03115868973662
second-year	1.768178390029585
second-year	1.935386108936356
second-year	2.266847021275808
second-year	2.017681642841935
third-year	1.0721881836200589
third-year	1.2226553729051628
third-year	0.9770025040998018
third-year	0.9436897103424098
third-year	1.1158953456025962
third-year	1.001991849036843
third-year	0.8862693529315211
third-year	1.0426188269805623
third-year	1.0865932891223538
third-year	0.9968604559758696
third-year	1.1434736504153196
third-year	1.2190336057717448
third-year	0.8435188144218656
third-year	1.0419591533334225
third-year	0.8416270743966191
third-year	1.1735500228664637
third-year	1.1892998456014183
third-year	1.2902621110039592
third-year	0.9318214738052202
third-year	1.0021737819741867
third-year	0.7432441669660552
third-year	1.0235274035086688
third-year	0.9792047887627584
third-year	1.1171676788631133
third-year	0.8121127707266742
fourth-year	0.9443189502080852
fourth-year	0.966980948773964
fourth-year	1.1538211708236337
fourth-year	0.8554647128059695
fourth-year	1.1825739423937491
fourth-year	0.9959977564147312
fourth-year	0.9770696375641348
fourth-year	0.9982629434471176
fourth-year	1.2176512290374346
fourth-year	0.971223388202908
fourth-year	0.8539906989890241
fourth-year	0.9794104161382768
fourth-year	0.8925402081703997
fourth-year	1.058090670320006
fourth-year	0.9288427799615044
fourth-year	0.820138755270776
fourth-year	1.0952052306835085
fourth-year	1.0570275581375137
fourth-year	0.9085168871986964
fourth-year	0.920847219172102
fourth-year	0.9538884433045962
fourth-year	0.910593196347326
fourth-year	1.141539703889373
fourth-year	0.9542394790207678
fourth-year	0.958557931121894
